Marca,Modelo,Ano,Quilometros,Portas,Lugares,Mudancas,Preco
SEAT,Toledo,2004,260000,5,5,4,6950
VW,Golf,2012,174806,5,7,5,11980
Toyota,CorollaVerso,2007,173000,3,4,6,12980
Fiat,500,2014,87000,5,5,4,10990
Volvo,V40,2013,149965,5,5,6,14980
Toyota,AurisTouringSports,2014,89000,5,5,6,17900
BMW,118,2011,165000,5,5,5,17900
VW,GolfVariant,2016,77000,5,4,7,19900
Fiat,Panda,2016,60300,5,5,5,8980
BMW,116,2017,22737,5,5,4,25399
Volvo,V40,2016,38000,5,5,5,21980
VW,Golf,2015,140000,5,2,5,15650
VW,Polo,2014,76000,3,5,6,10900
BMW,520,2016,39000,5,5,6,42490
Ford,FocusSW,2017,25000,5,5,6,22000
BMW,118,2009,169900,5,5,5,12990
VW,Golf,2013,112830,1,5,4,14700
Mercedes-Benz,E220,1995,177950,2,5,6,19500
Peugeot,308,2014,91000,5,5,6,15000
Toyota,Avensis,2016,28000,5,5,6,23980
Volvo,V40,2013,118000,5,5,6,18490
Citroën,DS5,2014,172000,5,5,5,18900
Audi,A3Sportback,2013,140000,5,5,8,18790
Fiat,Panda,2016,64000,5,5,7,8980
Fiat,Panda,2015,41000,5,5,6,7980
Fiat,Tipo,2016,24000,4,5,6,14980
Renault,ClioSportTourer,2017,26795,5,5,6,13549
Peugeot,208,2014,139000,5,4,4,13900
VW,Scirocco,2016,19000,3,5,6,27980
Mercedes-Benz,C300,2015,59750,5,5,6,39900
DS,DS4Crossback,2016,82000,5,5,6,19900
Opel,Zafira,2016,66504,5,7,6,24980
SEAT,Leon,2017,29385,5,5,6,18999
Volvo,V40CrossCountry,2014,123319,5,5,4,18990
BMW,318,1996,156000,4,5,4,3250
Mercedes-Benz,CLA200,2016,35000,5,5,6,37900
Mercedes-Benz,CLS250,2013,167724,5,5,6,35000
Opel,Astra,2017,19990,5,5,6,17980
VW,GolfVariant,2014,152100,5,4,5,15950
Volvo,V40,2017,33361,5,5,5,22749
BMW,325,2013,170000,5,4,5,32990
BMW,320,2011,114600,5,5,6,24950
BMW,116,2012,105676,3,5,6,15980
Peugeot,5008,2013,174816,5,5,6,13980
Audi,A4Avant,2002,255000,5,5,6,7900
VW,Scirocco,2016,4246,3,5,5,28980
BMW,520,2017,16877,5,5,5,43489
Mazda,Demio,1999,220000,5,5,6,1399
Opel,AstraSportsTourer,2017,29904,5,5,6,19999
Peugeot,208,2013,55000,5,2,8,12900
Peugeot,308SW,2015,127496,5,5,6,14690
Peugeot,307,2004,274000,3,5,6,4000
Volvo,V40,2014,66000,5,5,6,19900
Opel,AstraSportsTourer,2013,55000,5,5,8,14650
Mercedes-Benz,CLS320,2008,123000,5,5,5,24999
BMW,320,2014,99000,5,4,5,24900
Fiat,500C,2015,25937,3,5,8,19980
Smart,ForFour,2017,17938,5,5,5,11699
Nissan,Note,2016,106849,5,5,5,10980
Audi,Q5,2015,37309,5,5,6,44900
Mercedes-Benz,GLK220,2014,83587,5,5,5,39500
VW,Polo,2017,28089,5,5,5,17000
BMW,X5,2014,29876,5,5,6,65000
Mercedes-Benz,CLA220,2015,73321,4,5,6,37500
Audi,A4Avant,2014,103000,5,5,6,24300
Toyota,Aygo,2010,99000,5,5,6,4550
Volvo,V40CrossCountry,2014,112023,5,5,6,17980
VW,GolfVariant,2015,127090,5,5,6,15980
Renault,Captur,2015,63000,5,5,6,17900
Peugeot,508SW,2014,145000,5,5,5,15990
Mercedes-Benz,A180,2014,85840,3,4,6,22980
MINI,Cooper,2010,143000,5,5,6,13400
VW,Polo,2011,160623,5,5,6,8950
Peugeot,208,2013,119000,5,5,6,11700
Ford,MondeoSW,1997,202000,5,5,6,1650
Volvo,V60,2013,104752,5,5,5,17480
Peugeot,508SW,2012,133422,4,5,6,14980
VW,Passat,2012,168000,5,5,7,14400
Peugeot,206SW,2005,201000,5,5,6,3350
Volvo,XC60,2011,199700,5,5,6,19450
Mitsubishi,SpaceStar,2000,187000,3,5,6,1560
VW,Golf,2004,270000,4,5,6,5990
BMW,320,2014,170000,5,5,6,24750
Mercedes-Benz,B200,2012,100000,3,4,8,19900
MINI,Cabrio,2011,82000,2,5,6,16750
Renault,MéganeSportTourer,2016,60361,5,5,6,14500
Nissan,Note,2016,91096,5,5,5,11980
Mercedes-Benz,C220,2012,76594,5,5,6,24890
Renault,MéganeSportTourer,2015,119709,5,5,5,13980
SEAT,Ibiza,2010,98000,5,3,6,6900
Renault,Trafic,2011,232000,3,5,8,9500
BMW,520,2007,146877,5,5,6,14990
VW,Touareg,2010,188282,5,4,5,26900
Porsche,Panamera,2014,106000,5,5,6,67800
Mercedes-Benz,A180,2015,30455,5,5,6,24900
Opel,Vectra,2005,142000,5,4,5,6750
BMW,320,2012,239000,3,5,6,18900
Opel,Corsa,2016,56141,5,5,6,9980
BMW,320,2001,274000,5,5,8,5650
VW,Passat,2016,6300,4,5,6,42900
Audi,Q5,2010,163530,5,5,5,22890
Chevrolet,Kalos,2007,78000,5,5,5,4900
VW,PassatVariant,2007,263320,5,5,6,9980
Mercedes-Benz,A45AMG,2016,28000,5,5,6,59900
Renault,MéganeSportTourer,2011,87639,5,5,6,12990
Mercedes-Benz,C220,2014,125000,5,5,5,34900
Volvo,V60,2014,146947,5,7,6,18480
Mercedes-Benz,Viano,2006,274000,5,5,6,15350
Renault,LagunaBreak,2012,127000,5,5,5,13900
Renault,LagunaBreak,2014,45299,5,5,6,13980
Renault,MéganeSportTourer,2013,230000,5,5,8,9999
Audi,A1,2013,95051,5,5,6,15900
Mercedes-Benz,A150,2006,113000,5,5,6,8900
Mercedes-Benz,A180,2014,97187,2,4,6,18980
Peugeot,RCZ,2011,93500,3,4,6,18900
Peugeot,308SW,2015,152146,5,5,6,14250
Nissan,Navara,2005,235000,5,5,5,11800
Mercedes-Benz,E220,2009,180415,7,8,8,19499
Fiat,Scudo,2011,226561,5,5,6,14980
Audi,Q7,2017,11000,5,9,7,76500
Citroën,C4Cactus,2015,29635,5,5,8,11900
VW,Caravelle,2016,75686,5,5,6,28980
Mercedes-Benz,E220,2013,133684,5,7,6,32900
Toyota,Yaris,2011,88740,5,5,6,8990
Audi,Q7,2010,184800,5,5,6,34250
Renault,Mégane,2013,94800,5,5,6,14990
BMW,520,2006,168945,5,4,6,12980
Mercedes-Benz,GLC350,2017,12676,3,5,5,59980
BMW,M4,2016,29307,5,5,6,79980
Porsche,Cayenne,2015,51000,5,5,5,115000
Nissan,NV200,2010,200000,5,7,6,10500
VW,Jetta,2009,100230,5,5,6,10750
BMW,116,2013,118900,5,5,5,15750
Jaguar,X-Type,2007,170780,5,5,6,11980
Fiat,PuntoEvo,2010,142577,5,5,6,5900
BMW,318,2014,142187,5,5,6,21980
BMW,318,2014,196500,5,5,6,17900
Peugeot,207,2012,175415,5,5,6,7100
Jeep,Wrangler,2010,89820,3,2,6,27500
Peugeot,308SW,2014,149000,5,5,6,14799
BMW,120,2016,47631,3,5,6,26980
BMW,520,2012,156254,5,5,7,23250
Peugeot,206,2001,191260,3,5,7,3500
BMW,320,2013,125406,5,5,6,20980
Renault,Clio,2010,54000,5,5,7,8490
MINI,Countryman,2013,75900,5,5,6,17250
BMW,535,2008,227000,4,5,7,17990
Renault,MéganeCoupe,2009,63940,3,5,7,10990
Renault,MéganeSportTourer,2013,140000,3,4,5,12499
Audi,A6Avant,2017,22000,5,5,5,43880
Peugeot,Expert,2012,180000,5,5,5,14499
Mercedes-Benz,E220,2015,48000,5,5,6,42000
Renault,MéganeSportTourer,2011,150000,5,5,5,10499
Mercedes-Benz,C200,2012,312000,4,5,6,14500
SEAT,Ibiza,2016,49861,5,7,6,13500
Renault,ClioSportTourer,2017,17903,5,5,6,14499
Peugeot,208,2014,103479,5,5,6,11799
BMW,116,2017,20459,5,5,6,23900
Mercedes-Benz,A180,2017,4345,5,5,5,29990
Renault,Mégane,2009,193000,5,5,5,7500
BMW,216GranTourer,2017,10419,5,5,8,27900
Renault,Mégane,2016,96000,5,5,7,16700
Citroën,DS4,2015,149000,5,5,5,16700
VW,Golf,2006,117000,5,5,6,4650
Renault,Mégane,2014,114000,5,5,6,14800
Opel,AstraSportsTourer,2013,170000,5,7,5,11500
Toyota,AurisTouringSports,2016,84000,5,5,6,16950
Citroën,C4GrandPicasso,2015,125000,5,5,5,18500
Citroën,DS4,2014,129000,5,5,5,15700
SEAT,Ibiza,2010,116000,5,5,6,10750
BMW,320,2013,165000,4,5,5,22900
Renault,Clio,1999,315750,5,5,5,1150
Citroën,C4Cactus,2015,119000,5,5,5,14400
Skoda,OctaviaBreak,2010,237000,5,5,5,10990
LandRover,Vogue,2004,281000,5,5,5,19500
Opel,Astra,2011,226000,5,5,6,9850
Renault,Talisman,2016,59000,4,5,6,24900
Audi,A1Sportback,2015,119000,5,5,6,15950
Fiat,500C,2010,86000,3,4,6,11600
VW,Golf,2010,255000,3,5,5,12990
Mercedes-Benz,CLS350,2009,111500,2,4,6,31990
Smart,ForTwo,2013,88000,5,2,5,8400
AlfaRomeo,Giulietta,2012,157000,5,5,5,15890
Renault,Mégane,2013,139000,5,5,7,13900
SEAT,Ibiza,2005,211000,5,5,5,4700
Kia,CeedSW,2009,158000,5,5,7,8899
Mercedes-Benz,GLA200,2015,69891,5,5,5,32850
SEAT,Leon,2015,41079,5,5,6,22980
Opel,Corsa,2013,187000,4,5,5,8990
BMW,M5,2006,99000,5,5,5,37990
Volvo,S60,2004,233700,5,5,5,7990
Citroën,Berlingo,2008,254434,3,4,5,6900
VW,Up,2012,78000,5,5,5,7990
Toyota,Avensis,2013,88600,5,5,6,16500
Opel,Corsa,2007,193000,3,5,5,6500
Renault,MéganeCoupe,2015,78000,3,4,6,16800
VW,Golf,2010,248000,5,5,6,8700
Toyota,LandCruiser,2000,155342,5,5,6,16440
Volvo,XC60,2012,11500,3,4,6,25500
Renault,MéganeCC,2006,174000,5,5,5,7400
Peugeot,508SW,2012,150000,4,5,6,13900
Volvo,S60,2010,51000,5,5,5,16000
SEAT,Leon,2010,97800,4,5,5,11300
VW,Passat,2013,89400,5,5,6,18500
Toyota,Yaris,2012,105000,5,5,6,10900
Audi,A4Avant,2002,282000,5,5,5,6250
Opel,Corsa,2015,60073,5,5,5,12900
Peugeot,107,2007,133000,5,5,5,4750
Peugeot,508SW,2015,120000,4,5,5,17400
BMW,318,2014,50146,3,2,5,23799
Smart,ForTwo,2009,99000,5,5,6,4550
Mercedes-Benz,A170,2004,149000,2,2,6,7900
BMW,120,2008,151000,3,5,6,13450
Mitsubishi,ASX,2013,95010,5,5,5,17490
BMW,320,2014,185000,5,5,5,20999
Citroën,DS5,2013,117967,5,5,6,19240
Citroën,C4,2006,114200,5,5,6,8200
Renault,ClioSportTourer,2016,49593,5,2,6,14600
Mazda,MX-5,2015,78226,2,5,8,21000
Mercedes-Benz,CLS400,2018,151,5,5,6,101000
BMW,525,2001,334000,5,5,6,5450
Fiat,Punto,2015,78138,5,5,6,11450
Mercedes-Benz,A180,2017,20850,5,4,6,32850
BMW,320,2010,120304,2,5,5,24990
Volvo,V40CrossCountry,2017,1100,5,5,5,25900
Fiat,508,1933,100,5,5,6,53500
BMW,520,2015,177000,5,5,6,30500
Mazda,6,2008,167480,5,5,6,10950
Toyota,AurisTouringSports,2014,67000,5,5,6,14980
Opel,InsigniaSportsTourer,2013,186000,4,5,6,14750
VW,PassatCC,2010,117000,5,5,5,18990
Peugeot,208,2014,105000,5,5,6,12380
SEAT,Leon,2014,207800,5,5,7,10900
Audi,A3Sportback,2005,151000,5,2,5,9750
Mercedes-Benz,A180,2013,102000,2,5,6,17000
Mercedes-Benz,A200,2015,82560,5,5,7,29900
Opel,Adam,2016,36573,3,4,6,14900
SEAT,Ibiza,2014,46350,5,5,5,9850
Mercedes-Benz,C250,2014,45000,5,5,7,36500
Mazda,2,2017,16972,5,5,6,15900
Opel,Astra,2016,42955,5,1,6,14750
BMW,116,2014,52698,5,5,6,18900
BMW,X1,2015,76323,5,5,6,26900
BMW,116,2013,33639,5,5,6,17900
BMW,116,2013,70534,5,5,6,17900
Ford,FocusSW,2017,30142,5,5,6,17350
Mercedes-Benz,A180,2014,82740,5,5,6,19500
Opel,InsigniaSportsTourer,2013,110000,5,5,6,17000
Opel,AstraSportsTourer,2016,57797,5,5,6,17900
BMW,X3,2011,122000,5,5,8,24900
Mercedes-Benz,C220,2014,188000,5,4,6,20750
VW,PassatVariant,2013,90322,5,5,6,15900
Honda,Civic,2017,8393,5,5,6,19900
Mercedes-Benz,CLA200,2014,179000,5,5,6,27500
BMW,316,2014,70548,5,5,6,19900
Renault,MéganeBreak,2006,164857,5,5,5,4990
VW,GolfVariant,2016,19000,5,5,6,31000
VW,Fox,2010,73475,3,4,5,5750
Volvo,V60,2013,141930,5,5,6,18440
Volvo,V50,2007,315000,5,5,6,6750
Honda,AccordTourer,2009,173000,5,5,6,13500
Mitsubishi,Outlander,2013,185000,5,7,6,19500
SEAT,Alhambra,2007,223000,5,7,6,9350
BMW,320,2008,236000,5,9,6,12750
Renault,MéganeSportTourer,2012,138000,4,5,6,12500
VW,Scirocco,2009,160000,5,5,8,12750
VW,Golf,2013,230000,5,5,6,12950
Nissan,Qashqai,2017,58000,4,7,8,22500
Ford,Transit,2009,358000,5,5,8,9500
Renault,Mégane,2011,140000,5,5,6,8700
Citroën,C3Picasso,2010,194500,5,5,6,8250
Volvo,V50,2005,176000,5,5,5,6500
BMW,535,2013,79600,5,5,5,41500
VW,GolfSportsvan,2017,10000,5,5,6,28250
VW,Polo,2018,7500,5,5,6,21750
VW,Polo,2018,4500,5,5,6,21900
VW,Golf,2016,51800,4,5,6,16000
VW,Jetta,2017,13500,5,4,6,26750
VW,Up,2017,150,5,5,6,12000
VW,Polo,2017,22500,5,4,7,19250
VW,Up,2017,196,5,5,6,12750
Honda,Civic,2009,109000,5,3,5,9950
VW,Amarok,2012,199000,2,4,6,16500
VW,NewBeetle,2017,250,3,5,6,29250
SEAT,Ibiza,2011,84456,5,7,6,14480
Nissan,Juke,2014,113782,5,5,5,15890
VW,GolfVariant,2017,12536,5,5,5,21850
VW,Golf,2014,78500,3,5,6,28450
VW,Golf,2010,138000,5,5,8,12990
BMW,318,2014,189500,5,5,7,22950
Toyota,AurisTouringSports,2013,74609,5,5,5,13900
Mercedes-Benz,E250,2012,95000,5,5,6,28900
Mercedes-Benz,A180,2014,85000,5,5,6,24500
BMW,320,2013,68400,5,5,5,27750
Mercedes-Benz,GLA180,2015,59684,5,5,6,27900
Smart,ForTwo,2012,53000,3,4,5,9250
Mercedes-Benz,E220,2017,5950,3,5,5,68990
Volvo,V70,2014,77789,5,2,6,21900
Smart,ForTwo,2014,20000,3,5,5,12250
Fiat,Punto,2012,99100,5,5,6,6500
Mercedes-Benz,C220,2015,159900,5,5,5,31490
SEAT,Leon,2016,73649,5,5,6,16900
Nissan,Qashqai,2013,92000,5,5,4,17500
Jaguar,XF,2016,35000,4,5,5,42450
Renault,Clio,2012,65000,5,5,4,8490
Mercedes-Benz,GLA200,2016,65000,5,5,5,34350
Peugeot,508SW,2011,195000,5,5,6,12850
Mitsubishi,Pajero,2000,221365,3,5,7,11500
Renault,MéganeSportTourer,2012,169515,5,5,5,9990
Porsche,Boxster,1998,83000,5,5,6,17900
Mercedes-Benz,E300,2014,149500,5,7,6,36850
Mercedes-Benz,R300,2012,219088,5,5,7,32980
VW,PassatVariant,2004,350000,5,5,6,4100
MINI,Cooper,2012,132000,3,4,6,12390
Mercedes-Benz,CLA220,2014,38000,4,5,7,30900
Bentley,Continental,2005,73299,2,4,6,69500
Peugeot,208,2014,127000,5,5,6,11900
Ford,Focus,2017,23500,5,5,5,15995
Citroën,Spacetourer,2017,22000,4,9,5,27990
Renault,Captur,2017,30553,5,5,6,17690
Toyota,Yaris,2013,109000,5,5,5,9500
VW,PassatVariant,2016,81000,5,5,5,22900
Volvo,V90,2017,38000,5,5,5,66000
Peugeot,207,2009,129455,5,5,7,6400
Renault,GrandScénic,2014,117000,5,7,5,15495
BMW,520,2008,180000,5,5,6,14990
